name,oxilean,lean4lean,class,oxilean_detail,lean4lean_detail
EStateM.dummyRestore,verified,verified,agree,,
EStateM.dummySave,verified,verified,agree,,
EStateM.get,verified,verified,agree,,
EStateM.instInhabited,verified,verified,agree,,
EStateM.instInhabitedResult,verified,verified,agree,,
EStateM.instMonad,verified,verified,agree,,
EStateM.instMonadExceptOfOfBacktrackable,verified,verified,agree,,
EStateM.instMonadStateOf,verified,verified,agree,,
EStateM.instOrElseOfBacktrackable,verified,verified,agree,,
EStateM.map,verified,verified,agree,,
EStateM.modifyGet,verified,verified,agree,,
EStateM.modifyGet.match_1,verified,verified,agree,,
EStateM.nonBacktrackable,verified,verified,agree,,
EStateM.orElse,verified,verified,agree,,
EStateM.pure,verified,verified,agree,,
EStateM.run,verified,verified,agree,,
EStateM.run',verified,verified,agree,,
EStateM.seqRight,verified,verified,agree,,
EStateM.set,verified,verified,agree,,
EStateM.throw,verified,verified,agree,,
EStateM.tryCatch,verified,verified,agree,,
EStateM.tryCatch.match_1,verified,verified,agree,,
Empty,verified,verified,agree,,
Empty.casesOn,verified,verified,agree,,
Empty.noConfusion,verified,absent,only-one-side,,
Empty.noConfusionType,verified,absent,only-one-side,,
Empty.recOn,verified,verified,agree,,
Eq,verified,verified,agree,,
Eq.casesOn,verified,verified,agree,,
Eq.ndrec,verified,verified,agree,,
Eq.ndrec_symm,verified,verified,agree,,
Eq.recOn,verified,verified,agree,,
Eq.subst,verified,verified,agree,,
Eq.symm,verified,verified,agree,,
Eq.trans,verified,verified,agree,,
Except,verified,verified,agree,,
Except.casesOn,verified,verified,agree,,
Except.ctorElim,verified,verified,agree,,
Except.ctorElimType,verified,verified,agree,,
Except.ctorIdx,verified,verified,agree,,
Except.error.elim,verified,verified,agree,,
Except.error.noConfusion,verified,verified,agree,,
Except.noConfusion,verified,verified,agree,,
Except.noConfusionType,verified,verified,agree,,
Except.ok.elim,verified,verified,agree,,
Except.ok.noConfusion,verified,verified,agree,,
Except.recOn,verified,verified,agree,,
False,verified,verified,agree,,
False.casesOn,verified,verified,agree,,
False.elim,verified,verified,agree,,
False.recOn,verified,verified,agree,,
Fin,verified,verified,agree,,
Fin.Internal.ofNat,verified,verified,agree,,
Fin.casesOn,verified,verified,agree,,
Fin.ctorIdx,verified,verified,agree,,
Fin.decLe,verified,verified,agree,,
Fin.decLt,verified,verified,agree,,
Fin.eq_of_val_eq,verified,verified,agree,,
Fin.isLt,verified,verified,agree,,
Fin.mk._flat_ctor,absent,verified,only-one-side,,
Fin.mk.noConfusion,verified,verified,agree,,
Fin.noConfusion,verified,verified,agree,,
Fin.noConfusionType,verified,verified,agree,,
Fin.recOn,verified,verified,agree,,
Fin.val,verified,verified,agree,,
Fin.val_eq_of_eq,verified,verified,agree,,
Function.comp,verified,verified,agree,,
Function.const,verified,verified,agree,,
Functor,verified,verified,agree,,
Functor.casesOn,verified,verified,agree,,
